"Approval_Setup_For"
"Supplier Registration"
"Customer Registration"
"Product Creation"
"Product Price Change"
"Purchase Requisition"
"Purchase Order"
"Sales Quotation"
"Sales Order"
"Customer Discount"
"Supplier Payment"
"Customer Refund"
"Inventory Adjustment"
"Stock Transfer"
"Goods Receipt"
"Goods Return"
"Invoice Cancellation"
"Credit Limit Change"
"Supplier Contract"
"Warranty Claim"
"Service Request"
"Expense Reimbursement"
"Capital Equipment Purchase"
"Vendor Deactivation"
"Customer Account Deactivation"
"Email Template Publication"
